Ссылка;Артиккул;Название;Ед.изм;Цена;Ссылки на картинки;Регион
https://www.oboykin.rucatalog/russia/homecolor/dream/hc72162-42/;HC72162-42;Обои Palitra Home HC72162-42;рулон;2160;/assets/images/products/146028/hc72162-42-rap-oboykin-palitra-home-dream.jpg,/assets/images/products/146028/hc72162-42-rul-oboykin-palitra-home-dream.jpg,/assets/images/products/146028/hc72162-42-rul-2-oboykin-palitra-home-dream.jpg,/assets/images/products/146028/hc72162-42-rul-3-oboykin-palitra-home-dream.jpg,/assets/images/products/146028/hc72162-42-rul-4-oboykin-palitra-home-dream.jpg;Москва
https://www.oboykin.rucatalog/russia/elizium/rosa/e502405/;Е502405;Обои Элизиум Е502405;рулон;1061;/assets/images/products/146750/e502405-rap-oboykin-elysuim-rosa.jpg,/assets/images/products/146750/e502405-mac-oboykin-elysuim-rosa.jpg,/assets/images/products/146750/e502405-rul-oboykin-elysuim-rosa.jpg,/assets/images/products/146750/e50240x-rul-oboykin-elysuim-rosa.jpg,/assets/images/products/146750/e50240x-rul-2-oboykin-elysuim-rosa.jpg,/assets/images/products/146750/e502405-int-2-oboykin-elysuim-rosa.jpg,/assets/images/products/146750/e502405-int-oboykin-elysuim-rosa.jpg;Санкт-Петербург
https://www.oboykin.rucatalog/russia/simple/avangard/sp71992-28/;SP71992-28;Обои Palitra Simple SP71992-28;рулон;1880;/assets/images/products/127718/sp71992-28-mac-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rul-2-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rul-3-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rap-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rul-4-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rul-5-oboykin-simple-avangard.jpg;Санкт-Петербург
https://www.oboykin.rucatalog/russia/simple/avangard/sp71992-28/;SP71992-28;Обои Palitra Simple SP71992-28;рулон;1880;/assets/images/products/127718/sp71992-28-mac-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rul-2-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rul-3-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rap-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rul-4-oboykin-simple-avangard.jpg,/assets/images/products/127718/sp71992-28-rul-5-oboykin-simple-avangard.jpg;Москва
https://www.oboykin.rucatalog/russia/ostima/silvia/98497/;98497;Обои Ostima 98497;рулон;1533;/assets/images/products/133631/98497-rap-oboykin-ostima-silvia.jpg,/assets/images/products/133631/98497-int-oboykin-ostima-silvia.jpg;Москва
https://www.oboykin.rucatalog/belgium/grandeco/time-3/tj3001/;TJ3001;Обои Grandeco TJ3001;рулон;3450;/assets/images/products/152499/tj3001-rap-oboykin-grandeco-time-3.jpg;Санкт-Петербург
https://www.oboykin.rucatalog/germany/marburg/floralia/33914/;33914;Обои Marburg 33914;рулон;3900;/assets/images/products/103664/33914-rap-oboykin-floralia-marburg.jpg,/assets/images/products/103664/33914-mac-oboykin-floralia-marburg.jpg;Санкт-Петербург
https://www.oboykin.rucatalog/russia/victoria-stenova/ideal/287382/;287382;Обои Victoria Stenova 287382;рулон;2980;/assets/images/products/157496/287382-rap-oboykin-victoria-stenova-of-ideal.jpg,/assets/images/products/157496/287382-int-oboykin-victoria-stenova-of-ideal.jpg,/assets/images/products/157496/287382-rul-2-oboykin-victoria-stenova-of-ideal.jpg,/assets/images/products/157496/287382-rul-oboykin-victoria-stenova-of-ideal.jpg;Санкт-Петербург
https://www.oboykin.rucatalog/russia/victoria-stenova/ideal/287382/;287382;Обои Victoria Stenova 287382;рулон;2980;/assets/images/products/157496/287382-rap-oboykin-victoria-stenova-of-ideal.jpg,/assets/images/products/157496/287382-int-oboykin-victoria-stenova-of-ideal.jpg,/assets/images/products/157496/287382-rul-2-oboykin-victoria-stenova-of-ideal.jpg,/assets/images/products/157496/287382-rul-oboykin-victoria-stenova-of-ideal.jpg;Москва
https://www.oboykin.rucatalog/russia/victoria-stenova/almaz/686055/;686055;Обои под покраску Victoria Stenova 686055;рулон;2910;/assets/images/products/93221/686055-oboykin-almaz-victoria-stenova.jpg,/assets/images/products/93221/686055-oboykin-victoria-stenova-almaz-2.jpg,/assets/images/products/93221/686055-oboykin-victoria-stenova-almaz-3.jpg;Санкт-Петербург
https://www.oboykin.rucatalog/russia/victoria-stenova/almaz/686055/;686055;Обои под покраску Victoria Stenova 686055;рулон;2910;/assets/images/products/93221/686055-oboykin-almaz-victoria-stenova.jpg,/assets/images/products/93221/686055-oboykin-victoria-stenova-almaz-2.jpg,/assets/images/products/93221/686055-oboykin-victoria-stenova-almaz-3.jpg;Москва
https://www.oboykin.rucatalog/belgium/grandeco/jacknrose-2024/js3103/;JS3103;Обои Grandeco JS3103;рулон;2080;/assets/images/products/105882/js3103-rap-oboykin-jack-n-rose-2024-grandeco.jpg;Санкт-Петербург
https://www.oboykin.rucatalog/russia/simple/nutela/sp72029-77/;SP72029-77;Обои Palitra Simple SP72029-77;рулон;1880;/assets/images/products/147048/sp72029-77-rap-oboykin-palitra-simple-nutela.jpg,/assets/images/products/147048/sp72029-77-rul-2-oboykin-palitra-simple-nutela.jpg,/assets/images/products/147048/sp72029-77-rul-oboykin-palitra-simple-nutela.jpg,/assets/images/products/147048/sp72029-77-rul-3-oboykin-palitra-simple-nutela.jpg,/assets/images/products/147048/sp72029-77-rul-4-oboykin-palitra-simple-nutela.jpg,/assets/images/products/147048/sp72029-77-rul-5-oboykin-palitra-simple-nutela.jpg,/assets/images/products/147048/sp72029-77-rul-6-oboykin-palitra-simple-nutela.jpg,/assets/images/products/147048/sp72029-x-rul-2-oboykin-palitra-simple-nutela.jpg,/assets/images/products/147048/sp72029-x-rul-oboykin-palitra-simple-nutela.jpg;Санкт-Петербург
